com-, con-, co-	ともに、強意
osteo-, oste-	骨
pachyo-, pachy-	厚い
pancreatico-, pancreatic-	膵臓
papillo-, papill-	小乳頭状突起、乳頭突起
papulo-, papul-	丘疹
phoro-, phor-	運動、活動
proprio-, propri-	自分のもの
prosopo-, prosop-	顔
proximo-, proxim-	(身体・植物の中央に)近いほうの
psammo-, psamm-	砂
psilo-, psil-	裸の、衣服を脱いだ、外皮のはがれた
pterygo-, pteryg-	翼、翼状
ptyalo-, ptyal-	唾液
pulmono-, pulmon-	肺
pyloro-, pylor-	幽門
pyreto-, pyret-	発熱
rachio-, rachi-	脊柱、脊椎骨
rheo-, rhe-	流れ
stego-, steg-	カバー、覆い
sympatho-, sympath-	交感神経系
teno-, ten-	腱
tetano-, tetan-	破傷風
thalamo-, thalam-	視床
thallo-, thall-	若葉、[物質]タリウム
trachelo-, trachel-	子宮頸部
traumato-, traumat-	傷害、危害、損害、損傷
tropo-, trop-	ターン、反応、応答、変化、対流圏
tubio-, tubi-	チューブ、管、管状
ulo-, ul-	瘢痕
parvo-, parv-	小さい
glio-, gli-	神経膠細胞、神経膠
nemato-, nemat-	糸、糸状生物、線虫
sacro-, sacr-	仙骨、神聖な
acromio-, acromi-	肩関節の、肩の
amnio-, amni-	羊膜、羊水の
arachno-, arachn-	クモ、クモ膜炎
arithmo-, arithm-	算術、計算能力
arseno-, arsen-	アルセノ、アルセノ基を含む
atelo-, atel-	不完全な
bacillo-, bacill-	細菌、バクテリア
batho-, bath-	深さ
bathyo-, bathy-	深い、深さ、深海、体内
branchio-, branchi-	(魚などの)えら、 人のあごのわきの肉、 ジル
bronto-, bront-	雷、 雷鳴、 雷のような音、 威嚇、 非難、 怒号
butyro-, butyr-	[物質]酪酸
caco-, cac-	悪い、不快な
calcaneo-, calcane-	踵骨
cario-, cari-	虫歯
caudo-, caud-	尻、尻のような
ceno-, cen-	新しい、最近の
decemo-, decem-	10
dehydro-, dehydr-	脱水、水素原子を失った
deko-, dek-	10
demio-, demi-	半分、部分的
deoxyo-, deoxy-	[物質]デオキシ
desmo-, desm-	連結、連鎖
disto-, dist-	末梢、末端
eroto-, erot-	性欲
