com-, con-, co-	ともに、強意
musculo-, muscul-	筋
noso-, nos-	病気
onco-, onc-	塊、腫瘍
onomato-, onomat-	語、言葉
opistho-, opisth-	後ろ、後部
organo-, organ-	器官、有機の
oro-, or-	口、山
ozo-, oz-	匂い
ozono-, ozon-	オゾン
patho-, path-	病気
paucio-, pauci-	不足
pelvo-, pelv-	骨盤
pulmo-, pulm-	肺
quasio-, quasi-	類似、疑似、擬～、準～、～に準じる、半～
resino-, resin-	樹脂
reticulato-, reticulat-	網状に、網目模様に
ribo-, rib-	[物質]リボース（糖）
rostro-, rostr-	くちばし、吻状の
salino-, salin-	塩、塩分
salpingo-, salping-	卵管、耳管
scapho-, scaph-	舟の、舟のような
self-	自身の、自身に対する、それ自体で、独立の、自動の
sesquio-, sesqui-	1倍半の
silicio-, silici-	[物質]シリカ、[元素]ケイ素
sinistro-, sinistr-	左の
sodio-, sodi-	[元素]ナトリウム
somnambulo-, somnambul-	夢遊、夢遊病
spatio-, spati-	空間
spectro-, spectr-	スペクトルの、分光器の
step-	血縁のない
synchro-, synchr-	同時（性）の、同時に発生する
toco-, toc-	出産、分娩
tonsillo-, tonsill-	扁桃
trinitro-, trinitr-	3個のニトロ基を持つ
trito-, trit-	3番目の
ulno-, uln-	尺骨
umbello-, umbell-	散形花序の
undeca-, undec-	11
vago-, vag-	迷走神経
velo-, vel-	口蓋
veno-, ven-	静脈、葉脈
vivio-, vivi-	生命の、生体の
vomero-, vomer-	鋤骨
yocto-, yoct-	10のマイナス24乗
yotta-, yott-	10の24乗
zepto-, zept-	10のマイナス21乗
zetta-, zett-	10の21乗
tomo-, tom-	切断、切開、部分
maxillo-, maxill-	顎骨、上顎
poecilo-, poecil-	様々な、いろいろ
schizo-, schiz-	分裂、分離、精神分裂症
diptero-, dipter-	2つ、双
esophago-, esophag-	食道の
abso-, abs-	分離
actino-, actin-	光線、放射構造
acuo-, acu-	針、とげ
aero-, aer-	空気、大気、航空機、飛行、気体、ガス
after-	～の後
air-	空気、大気
algo-, alg-	苦痛
alko-, alk-	メタン系化合物、アルカン、アルキル基
alto-, alt-	高い
amido-, amid-	NH2基と酸基を含む化合物
amino-, amin-	無酸基と結合したNH2基
amylo-, amyl-	でんぷん、アミル
ancylo-, ancyl-	鍵形、屈曲部、間接、継目
andro-, andr-	一般人、男性、雄ずい、葯
angelo-, angel-	天使
angio-, angi-	果皮、血管、リンパ管
anhydro-, anhydr-	無水物
ano-, an-	肛門、上、上方
antero-, anter-	前
anthraco-, anthrac-	石炭、炭、炭素
areo-, are-	火星
argento-, argent-	銀
argyro-, argyr-	銀、銀色
arsino-, arsin-	アルシノ基
arterio-, arteri-	動脈、中枢
arthoro-, arthor-	関節
artio-, arti-	偶数
aso-, as-	方向
asco-, asc-	嚢
auro-, aur-	金
auro-, aur-	耳、聴覚の
Austro-, Austr-	オーストラリアの
austro-, austr-	南の
auxo-, aux-	増加、成長
avio-, avi-	鳥
axo-, ax-	軸
azo-, az-	窒素を含むもの
baccio-, bacci-	液果
bactero-, bacter-	細菌、バクテリア
benzo-, benz-	ベンゼン
bino-, bin-	2
blepharo-, blephar-	まぶた
bono-, bon-	良好
brachio-, brachi-	腕
brachyo-, brachy-	短い
bradyo-, brady-	遅い、鈍い
brevio-, brevi-	短い
broncho-, bronch-	喉、気管支
bryo-, bry-	苔
bubono-, bubon-	鼠蹊
bucco-, bucc-	頬
caeco-, caec-	盲腸
callio-, calli-	美しい
calorio-, calori-	熱
carto-, cart-	カード、トランプ
caryo-, cary-	核、心、細胞核
celo-, cel-	窩
cerebro-, cerebr-	脳、大脳
cero-, cer-	ろう
cervico-, cervic-	首、えり、頸部
cesto-, cest-	帯、腰帯、腰ひも
ceto-, cet-	鯨
chaeto-, chaet-	髪
chalo-, chal-	銅、真鋳
cheilo-, cheil-	唇
cheiro-, cheir-	手
chelio-, cheli-	鉤爪、爪、はさみ
chemo-, chem-	化学的、化学反応
chilo-, chil-	唇
Chino-, Chin-	中国の
chiro-, chir-	手
chloro-, chlor-	淡緑色、塩素
cholo-, chol-	胆汁、雄牛の胆汁
chondro-, chondr-	軟骨
choreo-, chore-	ダンス、舞踏
chorio-, chor-	絨毛膜、卵膜、脈絡膜
choro-, chor-	広い空間、地方
Christo-, Christ-	キリスト
chromato-, chromat-	色、着色、染色
coeno-, coen-	普通の、共通の
contro-, contr-	反対
costo-, cost-	肋骨
cranio-, crani-	頭葢、頭葢の、頭葢骨の
critico-, critic-	批評的
cryo-, cry-	冷凍、寒冷
crystallo-, crystall-	水晶、結晶
cteno-, cten-	櫛、櫛形の
cupro-, cupr-	銅
curvio-, curvi-	曲がった
cyclo-, cycl-	回転
cymo-, cym-	波
cyno-, cyn-	犬
cyprino-, cyprin-	鯉
cyrto-, cyrt-	湾曲
cysto-, cyst-	膀胱、嚢、包嚢
cyto-, cyt-	細胞
dacryo-, dacry-	涙
dactylo-, dactyl-	手指、足指
dasyo-, dasy-	毛状の、毛深い、濃い
decio-, deci-	10の1
demono-, demon-	悪魔、悪霊
dendro-, dendr-	木
deutero-, deuter-	第2の、再、二次的の
diazo-, diaz-	ディアゾ基を含むもの
dicho-, dich-	２つの、分離した、ばらばらに
digito-, digit-	手の指、足指
dodeca-, dodec-	12
dormo-, dorm-	眠る
dorso-, dors-	背、背の、背に
double-	2、2倍の、2重の
down-	下に
doxo-, dox-	栄光、誉れ
duo-, du-	2、二つ、両
duodeno-, duoden-	十二指腸
dyno-, dyn-	動力
dynamo-, dynam-	力、動力
ecclesio-, ecclesi-	教会
echino-, echin-	とげのある、傷だらけの
ecto-, ect-	外側、外部、外観
ectro-, ectr-	先天性欠損
Egypto-, Egypt-	エジプトの
eighty-	80
elaio-, elai-	油
eleuthero-, eleuther-	自由
embryo-, embry-	胚、胎児
enantio-, enanti-	反対、逆
endothelio-, endotheli-	内皮
ennea-, enne-	9
entero-, enter-	腸
ento-, ent-	内側
entomo-, entom-	昆虫
epeiro-, epeir-	大陸
epistemo-, epistem-	知識
ergo-, erg-	麦角病、麦角
erythro-, erythr-	赤
ethico-, ethic-	倫理の
ethno-, ethn-	人種、民族、人々
etio-, eti-	原因、理由
Europaeo-, Europae-	ヨーロッパの
Europeo-, Europe-	ヨーロッパの
euryo-, eury-	広い
evaporo-, evapor-	蒸発する
eventu-, event-	事件、結果
excito-, excit-	興奮神経、興奮
exo-, ex-	外、外部、外側
febro-, febr-	発熱、熱病、興奮
ferrio-, ferri-	鉄
fibro-, fibr-	繊維
fibrino-, fibrin-	フィブリン、繊維素
fifty-	50
fisso-, fiss-	分裂、分岐、裂開
flabellio-, flabelli-	扇、扇状の
flash-	短時間の、瞬間的の
floro-, flor-	花
florio-, flori-	花
forty-	40
fossilo-, fossil-	化石
fracto-, fract-	壊れた、割れた
Franco-, Franc-	フランスの
fronto-, front-	前骨部、前線
fructo-, fruct-	果実
fungo-, fung-	菌類
Gallico-, Gallic-	ガリア の、フランスの
galvano-, galvan-	流電気、流電気の
ganglio-, gangli-	神経節、節腫
genito-, genit-	生殖、性器、生殖器
glass-	ガラス
gnatho-, gnath-	あご
grapho-, graph-	書くこと
Greco-, Grec-	ギリシャの
gymno-, gymn-	裸の
gyneco-, gynec-	女、女性、女性生殖器、卵巣、雌ずい
gyno-, gyn-	女性、卵巣、雌ずい
gypso-, gyps-	石膏
haemo-, haem-	血
haemato-, haemat-	血
hair-	毛
heart-	心、心臓
hecto-, hect-	100
helico-, helic-	螺旋
hemato-, hemat-	血
hendeca-, hendec-	11
hepatico-, hepatic-	肝臓
hernio-, herni-	ヘルニア
hymeno-, hymen-	膜
icosa-, icos-	20
ideo-, ide-	考、思考、理想、観念、意味
igno-, ign-	火
ileo-, ile-	回腸
imido-, imid-	イミド、二級アミン
imino-, imin-	イミン
immuno-, immun-	免疫性、免疫性の
Indo-, Ind-	インドの
indo-, ind-	藍色
infero-, infer-	下に、下部に
iso-, is-	同等、同質
Japano-, Japan-	日本の
Judeo-, Jude-	ユダヤの
kilo-, kil-	1000
labio-, labi-	くちびる
lalo-, lal-	発話、発話障害
laparo-, lapar-	横腹
laryngo-, laryng-	喉頭
lepido-, lepid-	鱗、薄片
lexico-, lexic-	辞書
lipo-, lip-	脂肪、脂肪質の、脂肪過多の、脂質
litho-, lith-	石
loco-, loc-	場所から場所へ
logo-, log-	言葉、言語
longo-, long-	長い
longio-, longi-	長い
lumbo-, lumb-	腰
lunio-, luni-	月
lymphato-, lymphat-	リンパの、リンパを含む、リンパを分泌する
lysso-, lyss-	狂気
mangano-, mangani-	[元素]マンガン
manio-, mani-	手で
masto-, mast-	胸部、胸、乳房、乳、乳腺
matro-, matr-	母
maxio-, maxi-	最大、最長、大型
medico-, medic-	医学
meno-, men-	月、月経、月経期間
metho-, meth-	[物質]メチル基
mid-	中央の、中間の
myo-, my-	筋肉
mytho-, myth-	神話
narco-, narc-	無気力、麻痺状態、無感覚
naso-, nas-	鼻、鼻声
nepho-, neph-	雲
ninety-	90
nomo-, nom-	法律、慣習、風習、用法
nullio-, nulli-	無、零
numismato-, numismat-	流通貨幣
octo-, octa-, oct-	8
odonto-, odont-	歯
odonto-, odont-	歯
oleo-, ole-	石油、油、オレイン
oligo-, olig-	小さい、少数の、僅少の
ombro-, ombr-	雨
optico-, optic-	光、光学
opto-, opt-	光学の、視覚の、視力の
orchio-, orchi-	蘭、蘭科植物、睾丸
ornitho-, ornith-	鳥
oxo-, ox-	酸素を含む
oxyo-, oxy-	鋭い、急性、酸性、[物質]酸素を含む物質
palato-, palat-	口葢
panto-, pant-	すべての、あらゆる
pario-, pari-	等しい
pedatio-, pedati-	足の、足状の
petro-, petr-	岩、石
phago-, phag-	食べること
pharmaco-, pharmac-	薬、薬剤
pharyngo-, pharyng-	のど、喉頭
pheno-, phen-	表す、[物質]ベンゼン、フェノール基の
piezo-, piez-	圧力
pisco-, pisc-	魚
platino-, platin-	白金
pleuro-, pleur-	側腹、肋骨
plumbo-, plumb-	鉛
plurio-, pluri-	より多く、多くの
pluvio-, pluvi-	雨
polio-, poli-	灰白質
primo-, prim-	第一、原始、主部
procto-, proct-	直腸、肛門
proso-, pros-	～の方へ、その上
prostato-, prostat-	前立腺
psyco-, psyc-	霊魂、精神
psyco-, psyc-	霊魂、精神
ptero-, pter-	羽、翼、羽毛
pyelo-, pyel-	腎盂、骨盤、腎盤
quinque-, quinqu-	5、5つ
recto-, rect-	右、真っ直ぐ
recto-, rect-	直腸
remio-, remi-	オール、櫓
reno-, ren-	腎臓
rhodo-, rhod-	ばら
roentgeno-, roentgen-	X 線
roto-, rot-	回転する
Russo-, Russ-	ロシアの
sapro-, sapr-	分解、腐敗、変質、腐敗作用、腐敗物
sarco-, sarc-	肉
scapo-, scap-	茎、軸
scato-, scat-	糞、排泄物
schisto-, schist-	裂けた、割れた、分割した、かた割れの
sclero-, scler-	硬さ、硬い、堅い
scoto-, scot-	暗闇
scyphio-, scyphi-	器
seismo-, seism-	地震、振動
septo-, septi-, sept-	7、隔壁、囲い、鼻中隔
sero-, ser-	血清
Serbo-, Serb-	セルビアの
serico-, seric-	絹
servo-, serv-	サーボ機構を使用するデバイス・操作
setio-, seti-	剛毛
seventy-	70
sexa-, sex-	6
she-	女性、雌、雌性植物、雌株
silico-, silic-	[元素]珪素、シリコン
simplico-, simplic-	単純な、簡単な
sino-, sin-	曲り、湾、洞、膿瘻
Sino-, Sin-	中国の
sito-, sit-	食物
sixty-	60
snow-	雪
solio-, soli-	単一の、唯一の、太陽
somato-, somat-	身体、肉体
somnio-, somni-	睡眠
space-	空間、宇宙
spermato-, spermat-	種、精子
sphygmo-, sphygm-	脈
splanchno-, splanchn-	内臓、腹部
squamo-, squam-	うろこ、鱗片、うろこ状構造
stato-, stat-	位置
stearo-, stear-	脂肪
stego-, steg-	覆い、カバー
stercoro-, stercor-	牛馬などの糞
strato-, strat-	層、地層
strato-, strat-	層雲、成層圏
sucro-, sucr-	糖
sulpho-, sulph-	硫黄
sumo-, sum-	下
supra-, supr-	超、上の
syndesmo-, syndesm-	靭帯
syso-, sys-	共同
tachyo-, tachy-	速い
tarso-, tars-	足根骨
tauro-, taur-	雄牛、[物質]タウリン
tauto-, taut-	同一の、等価の
teleo-, tele-	終わりの、完全の
tenonto-, tenont-	腱
tero-, ter-	3、第3の、3重の、3倍
tetarto-, tetart-	4分の1
thaumato-, thaumat-	奇跡、驚異
thermyo-, thermy-	熱
thio-, thi-	[物質]硫黄酸化物
thirty-	30
thoraco-, thorac-	胸部
thyro-, thyr-	甲状腺
tono-, ton-	張力、応力、圧力、音調、音の高低
topo-, top-	場所、地域
totio-, toti-	全体の
toxo-, tox-	毒
toxico-, toxic-	毒
tracheo-, trache-	気管
tribo-, trib-	摩擦
tuberculo-, tubercul-	結核、肺結核、結核菌
turbo-, turb-	タービン
Turco-, Turc-	トルコ、トルコ語
twenty-	20
twi-	2
typho-, typh-	発疹チフス、腸チフス
typhlo-, typhl-	盲目、盲腸
udo-, ud-	湿った
up-	上の（方へ）
uretero-, ureter-	尿管、輸尿管
urethro-, urethr-	尿道
urico-, uric-	尿酸
urino-, urin-	尿
utero-, uter-	子宮
vagino-, vagin-	腟
vaporo-, vapor-	蒸気
varico-, varic-	静脈
ventro-, ventr-	腹、腹部
ventriculo-, ventricul-	室、心室、脳室
vermio-, vermi-	虫
vesico-, vesic-	膀胱
vice-	代理の、副の
vino-, vin-	酒
vitio-, viti-	葡萄の木
vitro-, vitr-	ガラス
with-	後方へ、離れて、反対に
xero-, xer-	乾いた、乾燥
yester-	昨～、去る～
zoo-, zo-	動物
abio-, abi-	無機、無生物の、無力
dinitro-, dinitr-	2つのニトロ基を持つ
dromo-, drom-	走路、競技のコース、走ること、スピード
aceto-, acet-	酢酸、アセチル
adeno-, aden-	腺
aesthesio-, aesthesi-	感覚、知覚
algo-, alg-	苦痛、痛み
alumino-, alumin-	アルミニウム、ミョウバン
ammono-, ammon-	[物質]アンモニア、アンモニウム
ampho-, amph-	両側、周りに、両方、2方法
anomo-, anom-	不規則な、普通でない
anomalo-, anomal-	不規則な、普通でない
antho-, anth-	花
atmo-, atm-	蒸気、蒸発、空気
baro-, bar-	重さ、大気圧、圧力
blasto-, blast-	成長、出芽、胚種、初期胎児
caulo-, caul-	茎
esthesio-, esthesi-	感覚、知覚
flavo-, flav-	黄色、［物質］フラビン
geronto-, geront-	老年、老人
gluco-, gluc-	糖、[物質]グルコース
glyco-, glyc-	糖、[物質]グルコース
granio-, grani-	粒、粒子、殻粒
grano-, gran-	花崗岩、花崗岩状の
lano-, lan-	羊毛
magneto-, magnet-	磁石、磁気、磁性、電磁
melano-, melan-	黒い、メラニン色素
mercuro-, mercur-	[元素]水銀
myelo-, myel-	脊髄、骨髄
nucleo-, nucle-	原子核、細胞核、核酸
nudio-, nudi-	裸の、素の、露出した
nycto-, nyct-	夜、夜の、夜行性の
oneiro-, oneir-	夢
patro-, patr-	父
phreno-, phren-	精神、横隔膜
phyco-, phyc-	海藻、藻類、海草
plagio-, plagi-	斜めの、傾いた
plano-, plan-	動く、歩き回る、彷徨う
plano-, plan-	平坦な、水平、平面
protero-, proter-	以前の、早期の、前の
retino-, retin-	網膜、樹脂
rhizo-, rhiz-	根
saccharo-, sacchar-	糖
sebo-, seb-	脂肪
sidero-, sider-	星、星の
sidero-, sider-	鉄
sono-, son-	音
spermo-, sperm-	種、精子
spino-, spin-	脊椎、脊髄、脊柱、とげ
steno-, sten-	近い、狭い、きっちりした
taxo-, tax-	配置、整理、配列、順序、分類、整復術
tricho-, trich-	毛、髪、細糸
vario-, vari-	種々の、異なった、多様な
zinco-, zinc-	[元素]亜鉛
tracho-, trach-	粗い
baculo-, bacul-	棒、杖
coelio-, coeli-	腔
coelo-, coel-	腔
cyano-, cyan-	青素、藍色、[物質]シアノ、シアン
eo-, e-	原始、原初の、最も初期の
phylo-, phyl-	種族、人種、分類上の種、(動物分類上の)門
phyllo-, phyll-	葉、葉緑素
stylo-, styl-	尖筆、(時頭骨の)茎状突起
trapezo-, trapez-	台形、頭蓋骨板
nympho-, nymph-	ニンフ、よう精、亜成虫、花嫁、若虫
occipito-, occipit-	後頭の、後頭部の、後頭骨
pilo-, pil-	毛、毛髪、フェルト、毛せん
xantho-, xanth-	黄色、キサントン
acro-, acr-	頂上、先端、先端の、終わりの、人体の四肢の
agro-, agr-	農作、土壌、畑
ante-, ant-	前に
anthropo-, anthrop-	人間
aquo-, aqu-	水
archo-, arch-	首位の、第一の
audio-, audi-	聴覚の
auto-, aut-	自己の、自らの
bi-	2、双、重、複、二、二つの
biblio-, bibli-	本、聖書
bio-, bi-	生、生命、生体、有機体
cardio-, cardi-	心臓
centi-, cent-	100番目、100分の1、100
chromo-, chrom-	色、色のついた、クロミウム、クロム
chrono-, chron-	時間
cosmo-, cosm-	宇宙、世界
crypto-, crypt-	隠された、秘密の
deca-, dec-	10
demo-, dem-	人々、民衆
dyso-, dys-	障害、悪化、不良、困難
endo-, end-	内部
eu-	良好な、真の、簡単な
helio-, heli-	太陽、太陽光線
hemi-, hem-	半分
hepta-, hept-	7
hetero-, heter-	異なった、違った
hexa-, hex-	6
homeo-, home-	類似の
homo-, hom-	同一の、類似の
hypero-, hyper-	過度、誇張
hypo-, hyp-	下に
infra-, infr-	下に、下部に、～内に
macro-, macr-	長い、大きい
micro-, micr-	微小、拡大、100万分の1
nano-, nan-	10億分の1、小さい
omni-, omn-	全て、総
ortho-, orth-	正しい、まっすぐ、直
paleo-, pale-	原始、古、旧
para-, par-	準～、擬似、保護、防護
penta-, pent-	5
peri-, per-	近い、周りの
philo-, phil-	～を愛する、～に親近感を持つ
poly-, pol-	多くの、多様、様々
pyro-, pyr-	火、熱
quadri-, quadr-	4、4番目、四角
radio-, radi-	放射線、放射能、放射状
socio-, soci-	社会
tri-, tr-	三、3、三倍
uni-, un-	1、単一の、1つ
cosmeto-, cosmet-	化粧
dermato-, dermat-	皮膚
gastro-, gastr-	胃
mega-, meg-	大きい、100万倍
miso-, mis-	嫌悪
neuro-, neur-	神経
phono-, phon-	音、言語、声、発話
phyto-, phyt-	植物、草木
psycho-, psych-	心、霊魂、精神
tele-, tel-	遠く離れた、遠隔操作の、テレビ、遠距離の、電信の、電送の
tetra-, tetr-	4、4重、4倍
theo-, the-	神、神学
thermo-, therm-	熱
meta-, met-	後～、共～、超～、変化した
electro-, electr-	電気（の）、電気的に、電解の、電磁の、電子
mono-, mon-	単独の、単一の、一つの
morpho-, morph-	形、形態
multi-, mult-	多数の、多数倍
neo-, ne-	新しい、最近の
proto-, prot-	最初の、主要な、基本の、元の、原始の
techno-, techn-	技能、工芸、技芸、技巧、技術
paedo-, paed-	足、子供、幼年時代、土壌
pano-, pan-	全て（の）、それぞれ（の）、完全、全体
pseudo-, pseud-	偽の、類似した、紛らわしい、仮の
eco-, ec-	生態系、環境、家政、経済
physio-, physi-	自然の、物理の、身体の
geo-, ge-	地球、土地、地理
hydro-, hydr-	水
photo-, phot-	光、写真
xeno-, xen-	外部の、外国の、異なった
anglo-, angl-	英国の
arboro-, arbor-	樹木、樹枝
archaeo-, archae-	古代の
archeo-, arche-	古代の
automato-, automat-	自動の、機械的に動く
baryo-, bary-	重量、圧力
cerato-, cerat-	角の
giganto-, gigant-	巨大な
ionto-, iont-	イオン
kerato-, kerat-	角、角膜、角質
levo-, lev-	左
lumino-, lumin-	発光
luteo-, lute-	黄色、橙黄色
oeco-, oec-	生態系、環境、家政、経済
partheno-, parthen-	処女、受精しない、単為生殖
physico-, physic-	自然の、物理の、身体の
pterido-, pterid-	シダ植物
pyramido-, pyramid-	錐形、ピラミッド型
scypho-, scyph-	器、酒杯
sphaero-, sphaer-	球、球状
sphero-, spher-	球、球状
syringo-, syring-	(人体の)管状の欠損、瘻孔
verticillo-, verticill-	輪生の
verticillio-, verticilli-	(バーティシリウム菌)～属
violo-, viol-	スミレ科スミレ属
esophago-, esophag-	食道
centro-, centr-	中心
geno-, gen-	遺伝子、人種、生成、生成物質
glauco-, glauc-	灰色、緑灰色、不透明
malaco-, malac-	柔らかい、軟らかい、軟体
metallo-, metall-	金属
myria-, myri-	１万、無数の、数え切れない
thalasso-, thalass-	海
tono-, ton-	音色、音調、圧力、緊張、 伸張
tropho-, troph-	栄養物
astro-, astr-	星、天体のね、天文学の、占星術の
a, an	without 否定/ない
ab	away 離れて
ad, ac, af, ag, al, an, ap, ar, as, at	to ～に/～の方へ
amb, amph	about, around 周囲
ante	before 前
anti	against 反/非
auto	auto 自ら
be	～にする/単語を動詞化
bi	two ２つ
cata	under 下に
com, co, col, cor, con	①共に、②完全に
contra	against 逆、反対
counter	反対/～に対して against
de	①下に、②強意、③反対
di	two ２つ
dia	横切る、通る、間
dis	否定
du, dou, do	two ２
dys	bad 悪化
e, ef, ex	①外へ、②前、元
en	接頭辞 ～にする / 単語を動詞化
en	接頭辞 中に
epi	among 間/上
eu	well 良い
exter, extr, str	outer 外部の
hemi, semi	half 半分
hepta, sept	seven ７つ
hetero	another 別の
hexa	six ６つ
home, homeo	same 同じ
hydro	water 水
hyper	super 上/超えて
hypo	under 下
ig	否定
im, in, il, ir, ig	①否定、②中に、③単語を動詞化
infra	under 下
inter, intra	inter 間の、相互の
int, ent	within 内側の
macro	large 大きい
magni	great 大きい
mal	①悪い、②不完全な/否定
mega	great 大きい
meta	後/変化/超
micro	small 小さい
mis	悪い/誤って/不利に
mon, mono	１つ
multi	much 多くの
non	否定
ob, oc, of, og, op, o	①～に向かって、②～に反対して
oct	eight ８つ
omni	all 全て
out	①外へ/外側の、②～より優れて/十分に、③長く/～以上
over	over 上に/過大に
pan	all 全ての
para	beside わきの
penta	five ５つ
per	thoroughly ①完全に、②通して
peri	around 周囲
photo	light 光
post	after (時系列的に)後ろ
pre, pro	前に
psycho	mind 心
quadr, tetra	four ４つ
re	①再び、②後ろ/元に
retro	後ろに/元に
se	away 離れて
semi, hemi	half 半分
sept, hepta	seven ７つ
sub, suc, suf, sug, sum, sup, sus	下
super	over, beyond 超えて
sur	上、超える
syn, syl, sys, sym	together 同じ
tele	farway 遠い、離れた
tetra, quadr	four ４つ
trans, tra	移る/超える
tri	three 三つの
ultra, ultimat	extreme 極端な
un	否定
uni, un, on	one 1つ
ut, out	out 外
