id,type,spelling,meaning,category
r1,root,fact,[1] つくる、する、作る,English_terms_derived_from_the_Proto-Indo-European_root_*dʰeh₁-
r2,root,feat,[1] つくる、する、作る,English_terms_derived_from_the_Proto-Indo-European_root_*dʰeh₁-
r3,root,fect,[1] つくる、する、作る,English_terms_derived_from_the_Proto-Indo-European_root_*dʰeh₁-
r4,root,fic,[1] つくる、する、作る,English_terms_derived_from_the_Proto-Indo-European_root_*dʰeh₁-
r5,root,fy,[1] つくる、する、作る,English_terms_derived_from_the_Proto-Indo-European_root_*dʰeh₁-
r6,root,face,[1] 面、形,English_terms_derived_from_the_Proto-Indo-European_root_*dʰeh₁-
r7,root,fake,[1] 面、形,English_terms_derived_from_the_Proto-Indo-European_root_*dʰeh₁-
r8,root,fig,[1] 面、形,English_terms_derived_from_the_Proto-Indo-European_root_*dʰeh₁-
r9,root,sist,[1] 立つ [2] 耐える,English_terms_derived_from_the_Proto-Indo-European_root_*steh₂-
r10,root,st,[1] 立つ [2] 耐える,English_terms_derived_from_the_Proto-Indo-European_root_*steh₂-
r11,root,stand,[1] 立つ [2] 耐える,English_terms_derived_from_the_Proto-Indo-European_root_*steh₂-
r12,root,state,[1] 立つ [2] 耐える,English_terms_derived_from_the_Proto-Indo-European_root_*steh₂-
r13,root,stood,[1] 立つ [2] 耐える,English_terms_derived_from_the_Proto-Indo-European_root_*steh₂-
r14,root,store,[1] 立つ [2] 耐える,English_terms_derived_from_the_Proto-Indo-European_root_*steh₂-
r15,root,t,[1] 立つ [2] 耐える,English_terms_derived_from_the_Proto-Indo-European_root_*steh₂-
r16,root,cap,[1] 取る、つかむ、つかみ取る [2] 頭,English_terms_derived_from_the_Proto-Indo-European_root_*kap- | English_terms_derived_from_the_Proto-Indo-European_root_*kap-_(head)
r17,root,caput,[1] 取る、つかむ、つかみ取る [2] 頭,English_terms_derived_from_the_Proto-Indo-European_root_*kap- | English_terms_derived_from_the_Proto-Indo-European_root_*kap-_(head)
r18,root,ceive,[1] 取る、つかむ、つかみ取る [2] 頭,English_terms_derived_from_the_Proto-Indo-European_root_*kap- | English_terms_derived_from_the_Proto-Indo-European_root_*kap-_(head)
r19,root,cept,[1] 取る、つかむ、つかみ取る [2] 頭,English_terms_derived_from_the_Proto-Indo-European_root_*kap- | English_terms_derived_from_the_Proto-Indo-European_root_*kap-_(head)
